"Datum","Windgeschwindigkeit48M","Windgeschwindigkeit100M","Windgeschwindigkeit152M","Windrichtung48M","Windrichtung100M","Windrichtung152M","Windgeschwindigkeit100MP10","Windgeschwindigkeit100MP20","Windgeschwindigkeit100MP30","Windgeschwindigkeit100MP40","Windgeschwindigkeit100MP50","Windgeschwindigkeit100MP60","Windgeschwindigkeit100MP70","Windgeschwindigkeit100MP80","Windgeschwindigkeit100MP90","Interpoliert","Kapazitaat","Output","Zeit","Week_Day","Month_Day","Year_Week","Year_Month","Year_Day","Time_Slot","Hour","Cloud","Precipitation","Pressure","Solar","Temp","Wind"
2017-07-01,4.85,5.81,6.41,263,266,268,3.92,4.75,5.16,5.53,5.82,6.04,6.3,6.85,7.46,0,119000,"X"," 0:00",7,1,26,7,182,1,1,8,0.1,1003,103.57,14.4,4.2
2017-07-01,4.925,5.885,6.5,262.75,265.5,267.5,3.9625,4.8175,5.2725,5.61,5.895,6.1425,6.415,6.9275,7.535,1,119000,"X"," 0:15",7,1,26,7,182,2,1,8,0.1,1003,103.57,14.4,4.2
2017-07-01,5,5.96,6.59,262.5,265,267,4.005,4.885,5.385,5.69,5.97,6.245,6.53,7.005,7.61,1,119000,"X"," 0:30",7,1,26,7,182,3,1,8,0.1,1003,103.57,14.4,4.2
2017-07-01,5.075,6.035,6.68,262.25,264.5,266.5,4.0475,4.9525,5.4975,5.77,6.045,6.3475,6.645,7.0825,7.685,1,119000,"X"," 0:45",7,1,26,7,182,4,1,8,0.1,1003,103.57,14.4,4.2
2017-07-01,5.15,6.11,6.77,262,264,266,4.09,5.02,5.61,5.85,6.12,6.45,6.76,7.16,7.76,0,119000,"X"," 1:00",7,1,26,7,182,5,2,8,0,1003.2,103.57,14.4,4.8
2017-07-01,5.215,6.1925,6.8725,261.5,263.5,265.5,4.1075,5.045,5.64,5.915,6.2025,6.515,6.85,7.255,7.865,1,119000,"X"," 1:15",7,1,26,7,182,6,2,8,0,1003.2,103.57,14.4,4.8
2017-07-01,5.28,6.275,6.975,261,263,265,4.125,5.07,5.67,5.98,6.285,6.58,6.94,7.35,7.97,1,119000,"X"," 1:30",7,1,26,7,182,7,2,8,0,1003.2,103.57,14.4,4.8
2017-07-01,5.345,6.3575,7.0775,260.5,262.5,264.5,4.1425,5.095,5.7,6.045,6.3675,6.645,7.03,7.445,8.075,1,119000,"X"," 1:45",7,1,26,7,182,8,2,8,0,1003.2,103.57,14.4,4.8
2017-07-01,5.41,6.44,7.18,260,262,264,4.16,5.12,5.73,6.11,6.45,6.71,7.12,7.54,8.18,0,119000,"X"," 2:00",7,1,26,7,182,9,3,7,0,1002.9,101.38,14.5,4.7
2017-07-01,5.455,6.5,7.255,260.5,262.5,264.5,4.2425,5.175,5.775,6.1425,6.5075,6.79,7.2,7.6075,8.22,1,119000,"X"," 2:15",7,1,26,7,182,10,3,7,0,1002.9,101.38,14.5,4.7
2017-07-01,5.5,6.56,7.33,261,263,265,4.325,5.23,5.82,6.175,6.565,6.87,7.28,7.675,8.26,1,119000,"X"," 2:30",7,1,26,7,182,11,3,7,0,1002.9,101.38,14.5,4.7
2017-07-01,5.545,6.62,7.405,261.5,263.5,265.5,4.4075,5.285,5.865,6.2075,6.6225,6.95,7.36,7.7425,8.3,1,119000,"X"," 2:45",7,1,26,7,182,12,3,7,0,1002.9,101.38,14.5,4.7
